#{"t_start": 1755855431.188443, "env_id": "None"}
r,l,t
-8200.135971,3000,13.041119
-1763.158843,3000,23.846598
-7408.587114,3000,34.898293
-8211.076331,3000,49.463761
-3736.156117,3000,65.463865
-7109.03403,3000,81.098138
-1781.246396,3000,96.979786
-9744.584977,3000,112.804472
0.721163,3000,128.784685
-510.55386,3000,144.718476
-8998.098052,3000,159.700718
-3899.95352,3000,175.509328
-4038.900485,3000,191.541775
-8588.228082,3000,204.079383
-4115.662991,3000,214.437418
-3778.934454,3000,224.871627
-1688.634898,3000,235.147638
-3615.742789,3000,245.531221
-333.083286,3000,257.071249
-9208.197143,3000,267.933585
-916.171899,3000,279.072955
-4595.028601,3000,290.389483
-1849.983066,3000,301.26551
-954.420492,3000,312.311024
-559.817882,327,313.40187
-7685.024474,3000,323.775108
-822.90944,3000,334.637856
-9759.260877,3000,345.919624
-118.957277,3000,357.027078
-7748.114055,3000,367.616839
-5474.135029,3000,378.948938
-896.605558,3000,389.83154
-7307.33944,3000,400.252554
-90.346165,3000,410.5106
-8094.03458,3000,420.742192
-225.995305,3000,431.973271
-5239.662145,3000,442.260104
-6935.956127,3000,452.795388
-389.427858,3000,463.201695
-4239.086011,3000,474.227491
-221.018077,3000,484.864636
-132.008533,233,485.674415
-1084.815801,3000,496.087475
-363.611175,3000,506.62095
-331.181279,3000,517.06732
-2323.58244,3000,527.391435
-9546.605706,3000,537.880408
-4160.494395,3000,548.28765
-1732.021316,3000,558.795219
-1027.324907,3000,569.071213
-887.141288,408,570.44421
2625.263848,3000,581.002303
-3499.617483,3000,591.26439
-2628.024008,3000,601.8152
-4876.732253,3000,612.05904
-1756.204838,3000,622.439444
-1136.333968,3000,632.993483
-919.629276,3000,644.273722
-2684.511694,3000,654.619143
-266.59606,3000,664.984956
-241.392367,3000,675.791185
-1684.122663,3000,686.417351
-1467.640209,3000,697.459167
-6035.102382,3000,707.632408
1323.044515,762,710.47286
-8432.541792,3000,722.248367
-10739.231707,3000,733.218226
-372.495152,3000,744.827735
-35.304607,3000,757.200174
-5703.875498,3000,768.552818
-9419.07552,3000,779.927474
-1734.117157,3000,791.379375
10.0,1,791.392474
-849.784886,3000,802.733405
-981.581085,3000,815.79443
-791.714678,3000,827.035561
-799.799104,3000,839.575334
-9679.210092,2694,850.1551
-1771.712557,3000,862.907841
-1372.950138,3000,874.779781
-3512.300195,3000,887.22388
-2972.009082,3000,900.243147
-9640.603829,3000,911.412001
-6915.469047,3000,923.154546
-447.266147,3000,935.714109
-5362.899123,3000,947.645311
-2821.32888,3000,960.0003
-3472.431688,3000,972.637037
-1304.335408,3000,985.013753
-487.265433,3000,998.209548
-7781.048384,3000,1010.013253
-401.032955,3000,1023.266169
-285.467074,3000,1035.257682
-1314.713567,3000,1048.387432
-633.278873,3000,1060.036915
-4219.770574,3000,1071.65376
-3245.103963,3000,1083.775567
-1696.433089,3000,1096.446139
100.703475,3000,1108.698541
-230.413669,3000,1120.688312
-324.486217,3000,1132.878183
-1116.164217,3000,1144.227334
-899.074799,3000,1156.496662
-397.754282,3000,1167.988812
-6254.508231,3000,1178.797701
-2486.441827,3000,1189.603769
-4690.407979,3000,1201.193812
-1537.868847,3000,1212.82648
-1532.537662,3000,1224.289634
-293.847625,3000,1236.624106
-843.808164,3000,1248.259927
-166.563793,3000,1259.970862
68.915984,3000,1271.70163
-6004.497724,3000,1282.719588
8.742865,3000,1295.057106
-7156.734156,3000,1305.835615
-7427.258862,3000,1316.756344
-153.735427,3000,1328.896069
-2906.048201,3000,1340.346365
396.738015,3000,1351.093141
54.842448,3000,1361.59151
-1142.443875,3000,1373.354712
-4718.105146,3000,1383.92915
-94.360359,3000,1395.398959
-50.651911,3000,1405.925608
-612.091834,3000,1416.939941
-3552.738171,3000,1428.097421
-146.794699,3000,1438.825872
-175.414968,3000,1450.048227
-1100.280191,3000,1461.437083
-731.451099,3000,1472.687018
-306.895432,3000,1484.270557
-366.406122,3000,1495.751401
-4376.806157,3000,1506.899723
-4257.606092,3000,1518.171913
-457.213986,3000,1529.272713
-146.409062,3000,1540.308408
-4207.317258,3000,1551.548658
75.759859,3000,1562.986103
74.174497,3000,1574.821606
143.529125,3000,1586.270549
-650.827324,3000,1598.253069
-401.247518,3000,1609.189265
-567.928212,3000,1620.603212
-1003.180092,3000,1631.982318
-83.896673,3000,1643.872472
-52.17084,3000,1655.756139
-1575.916161,3000,1667.423316
-844.581465,3000,1679.027646
-182.709807,3000,1691.387743
-3152.947086,3000,1702.788178
-1629.852144,3000,1715.125083
575.081465,273,1716.121835
-2217.535164,3000,1728.539327
-133.748072,131,1729.028087
-702.481849,311,1730.185781
206.993387,3000,1741.678016
-1639.057371,3000,1752.985004
-8721.793263,3000,1764.213248
-1064.439011,3000,1775.787777
-1022.93235,3000,1788.076405
-463.597426,3000,1799.731605
-1197.592422,435,1801.308152
-1486.820585,3000,1812.83116
-1856.498571,807,1815.772563
-207.075568,3000,1826.929763
459.589195,3000,1838.385399
-7186.361388,3000,1849.636726
-4588.465041,3000,1861.606017
-3099.670301,3000,1873.395981
-6627.871707,3000,1884.804596
98.381563,3000,1895.925297
399.260804,3000,1907.300768
10.0,1,1907.314583
174.718807,3000,1918.56783
-1229.683629,3000,1929.987659
-11544.729133,3000,1940.915713
-10493.518414,3000,1952.334202
-506.686735,3000,1963.768135
-1219.716974,3000,1974.975862
20.169014,3000,1986.049341
-2151.781239,3000,1997.296308
23.333128,45,1997.470917
-5914.448154,3000,2008.673374
-176.344527,3000,2020.095814
-1748.296819,3000,2031.463035
-135.549834,3000,2043.145408
-1172.464486,3000,2054.66372
111.280999,3000,2066.002675
-945.769164,3000,2077.473832
-3629.592537,3000,2088.728212
-7373.026881,3000,2100.500206
-2148.323954,3000,2111.806923
-953.199885,3000,2122.921971
-6679.457634,3000,2133.917878
-2092.732091,3000,2145.117344
-997.784518,3000,2156.325003
-793.887819,3000,2167.769466
-5377.670139,2261,2175.929491
168.938526,3000,2186.940407
-7021.030178,3000,2198.498119
-63.269648,3000,2209.443284
-4675.909302,3000,2220.348013
-129.786925,3000,2231.33313
81.479873,3000,2242.403476
-1548.349171,3000,2253.310435
-597.113829,3000,2264.275408
-531.039836,3000,2275.265159
-2987.690509,3000,2286.099358
-820.593595,3000,2297.169364
111.134969,3000,2308.036424
-1637.290131,3000,2319.239306
-3439.307615,3000,2330.367709
-480.565201,3000,2341.803264
-713.134527,3000,2352.995726
-1022.086789,3000,2365.276175
1391.991301,3000,2377.27951
-9252.518646,3000,2388.93529
-48.694253,3000,2400.57295
-568.330846,3000,2411.913267
-349.633288,3000,2423.656259
1416.333586,3000,2435.808835
-8443.194681,3000,2447.726721
-1922.892273,3000,2458.98735
-550.344125,3000,2470.485469
-4516.707896,3000,2481.699761
-1937.115062,3000,2492.889767
-386.490505,3000,2504.326177
-2537.38252,3000,2515.973177
-4389.816898,3000,2527.523979
-192.360959,3000,2538.771835
-494.046128,3000,2549.590752
-314.563238,3000,2560.753977
120.051285,3000,2571.677769
-908.371657,3000,2582.557198
-867.893678,3000,2593.568
-7557.038894,3000,2604.351414
-446.166604,3000,2615.416258
-470.867666,3000,2626.357969
-8283.361992,3000,2637.279655
-1944.563005,3000,2648.136348
-10120.75259,3000,2659.098931
-2409.635458,3000,2669.913065
-7159.481032,3000,2680.798943
-47.136493,3000,2691.574164
-391.931843,3000,2702.778484
210.958062,3000,2713.575131
-663.32277,3000,2724.730359
-1400.610202,3000,2735.521742
-7629.064534,3000,2746.288056
-703.484217,3000,2757.318238
-389.771201,3000,2768.152136
-889.536143,3000,2779.24785
-3768.126516,3000,2789.990235
-4004.003952,3000,2801.007749
-8073.035252,3000,2811.768908
195.64217,3000,2822.737559
-1058.421197,3000,2833.551807
-338.813904,3000,2844.971483
7.331771,3000,2855.856123
-290.540204,3000,2867.398517
-875.065363,3000,2878.228401
-344.947019,3000,2889.081463
-10790.222548,3000,2900.054375
-9556.235227,3000,2910.815639
-8730.173574,3000,2921.835186
10.0,1,2921.8486
-1117.759714,3000,2932.719009
-1878.829073,3000,2943.666905
145.431184,3000,2954.478758
-4605.57636,3000,2965.341687
-954.059576,3000,2977.690153
-1348.671985,3000,2988.89079
95.365444,3000,2999.661784
-151.283844,3000,3011.229108
98.293099,3000,3023.649438
-698.603801,353,3024.958744
936.031745,935,3028.569957
-6203.759487,3000,3039.898572
-1408.427995,3000,3051.831584
-650.165038,3000,3063.096545
-800.88879,3000,3075.595221
-4596.71821,3000,3087.030797
-4729.037657,3000,3098.705201
29.781338,19,3098.78707
844.148537,1214,3103.589864
139.37144,3000,3115.195626
327.847949,661,3117.818546
-7.278291,3000,3129.955441
-4224.296053,3000,3141.9971
-32.01323,3000,3154.161629
-5216.540184,3000,3165.78273
-2556.990539,3000,3177.275986
-1660.386867,3000,3189.671376
-690.588152,3000,3201.589716
-957.456717,3000,3213.075703
21.71327,3000,3225.660891
22.088915,5,3225.692023
9.768436,3000,3237.48056
-1570.917041,3000,3249.345926
69.534402,3000,3260.621096
163.590278,3000,3272.064002
41.701232,3000,3283.549108
-428.106683,3000,3295.251874
-99.994408,3000,3308.188925
-4802.791031,3000,3319.918731
-108.677616,3000,3331.139388
-2807.290752,3000,3342.94247
-1974.61075,624,3345.452467
-4720.675881,3000,3357.317823
-899.197997,3000,3371.031763
-10578.28805,3000,3382.605514
-1.133845,3000,3394.270293
-966.287505,3000,3405.993949
-41.396871,3000,3417.499673
-1007.918623,3000,3428.908803
-1830.959157,3000,3440.569776
-610.261518,3000,3451.869809
122.655825,3000,3463.088943
-1783.018196,3000,3474.336389
-7025.217563,3000,3485.905731
-1476.04421,3000,3497.976924
-1095.208855,3000,3509.680189
-1677.226545,3000,3521.012382
-76.520451,3000,3532.324895
-205.806906,3000,3544.098678
-446.662165,3000,3556.919595
157.019139,3000,3568.757233
-883.680918,3000,3580.528573
-934.05122,3000,3593.905653
-136.545417,3000,3606.510791
-218.373417,3000,3619.407463
29.012325,3000,3631.464935
-482.639965,3000,3644.724669
-93.318023,3000,3656.173531
-1019.215582,3000,3667.482614
-53.570731,3000,3678.364567
-1554.55522,3000,3689.485433
201.997264,3000,3700.638105
-257.918659,3000,3711.760805
-1398.797461,3000,3723.138384
-436.669456,3000,3734.514373
-991.781717,3000,3745.947128
58.928793,3000,3757.291616
-505.62188,3000,3768.594668
-200.965188,3000,3779.696885
-1103.074468,3000,3791.372486
-100.851228,3000,3802.481007
-861.961611,3000,3814.142081
-719.177876,3000,3825.36367
-2312.707629,3000,3836.452258
-183.957212,3000,3847.232882
226.553612,3000,3858.11965
-3183.535496,988,3861.725506
-361.558096,3000,3872.671075
-4304.549976,3000,3884.711701
-2066.867559,3000,3896.391147
158.222779,3000,3908.176071
-560.44023,3000,3919.648893
282.103967,3000,3930.991349
-142.14837,3000,3942.574291
-3074.505388,3000,3954.358502
-256.400561,3000,3966.252379
-949.794914,3000,3978.086566
-248.110167,3000,3989.239669
-102.921373,3000,4000.529235
-422.97038,3000,4011.607617
-57.797875,3000,4022.472811
-1075.335866,3000,4033.710026
-1467.939652,3000,4044.671996
-782.610646,3000,4055.780862
-568.47211,3000,4066.734162
-8268.446317,3000,4077.747078
184.195064,3000,4088.751831
-350.678957,3000,4099.902025
87.688631,3000,4110.806144
-623.190977,3000,4121.976387
114.754562,3000,4133.045685
-1094.518673,3000,4144.059207
-149.545892,3000,4154.977503
191.771724,3000,4166.162613
-1466.75353,3000,4177.082166
-2793.02074,3000,4188.38775
-18.574927,3000,4200.096589
-2167.251429,3000,4211.474695
-1601.308282,3000,4223.041848
-817.512793,3000,4234.796232
-177.993694,3000,4246.738836
-20.831294,3000,4258.8801
73.554132,3000,4271.215948
-561.727009,3000,4282.633954
-8230.534532,3000,4293.775067
214.318157,3000,4305.163911
-553.36118,3000,4316.637863
-3933.177809,3000,4328.47253
-193.460525,3000,4340.203879
-1387.219973,3000,4351.524008
-970.829505,3000,4362.578938
104.9566,3000,4374.149089
-1157.498465,3000,4385.354745
-1308.889051,3000,4396.829261
-3698.306804,3000,4408.470876
-2155.117492,3000,4420.00633
-175.404522,3000,4431.433391
-5682.685444,3000,4443.494474
-7778.491286,3000,4454.55722
-1737.422837,3000,4465.738954
-1966.708279,3000,4477.110234
337.142339,3000,4488.885936
-1539.031034,3000,4500.680113
-189.27727,3000,4512.448364
-256.466924,3000,4524.107552
213.324405,3000,4536.187425
-2254.278549,3000,4548.477266
558.972382,3000,4559.947127
-341.775812,250,4560.881905
-1285.298134,3000,4572.65733
-1109.364381,3000,4584.287039
-8402.163531,3000,4596.030846
-517.584537,3000,4607.56576
-573.85364,3000,4619.734282
-731.788356,3000,4632.032992
-486.889331,3000,4644.650387
-24.264173,3000,4656.88009
-7.05164,3000,4669.497825
-1711.167325,3000,4681.873374
-3296.817849,3000,4694.325587
-197.751946,3000,4706.796736
-2684.577676,3000,4718.806593
-6904.401266,3000,4730.869949
-2407.891037,3000,4742.51353
19.576662,3000,4754.275909
-2436.398745,3000,4766.564233
-2436.921893,3000,4778.741338
-495.189142,3000,4790.713648
-1280.941156,3000,4802.731778
-1174.565194,3000,4815.632854
-2328.709579,3000,4827.877837
-1604.165471,3000,4839.891669
-1103.557914,3000,4851.825904
-571.940102,3000,4863.974251
-520.097672,3000,4876.307761
-482.59698,3000,4888.729942
-2604.145896,3000,4901.189652
1.645332,3000,4913.76243
-1923.156531,595,4916.095637
-91.018691,3000,4928.396091
-194.068967,3000,4940.594903
-1939.755249,3000,4953.432716
-4315.262789,3000,4965.47221
-844.614312,3000,4977.485178
233.977945,3000,4989.137774
2042.595798,3000,5000.435007
-1117.949593,386,5001.993553
-357.831967,242,5002.848904
-3836.476658,3000,5014.18251
170.319011,3000,5025.551084
-60.746308,3000,5036.695982
-2015.115914,3000,5048.122145
110.99666,3000,5059.127684
-135.31234,3000,5070.245106
-347.652109,3000,5081.58321
-144.763479,3000,5093.065831
-1389.967929,3000,5104.708373
-962.508505,3000,5116.437092
-7348.961108,3000,5128.606844
-384.305978,3000,5139.95403
-1419.047501,3000,5151.981193
-761.85382,3000,5164.133104
-1152.090346,3000,5176.294556
218.010246,3000,5187.96325
-8107.481704,3000,5199.52197
-590.173602,3000,5210.919626
-3373.935158,3000,5222.503197
-729.750897,3000,5234.751625
181.139822,3000,5246.082059
-387.685528,3000,5257.247227
-152.934656,111,5257.653027
-1577.110147,3000,5268.96643
-1393.255705,3000,5280.259208
-4639.998013,1646,5286.458539
-1365.675864,3000,5297.786679
963.946807,3000,5309.291425
-1584.012888,3000,5320.737633
-1836.661875,3000,5332.156865
-439.93695,3000,5343.283208
-1075.162439,3000,5354.544159
-1799.437042,3000,5365.72707
-2568.118796,3000,5376.732505
-255.90745,3000,5387.94921
-143.161052,3000,5398.858639
-183.969172,3000,5409.951371
-8138.756627,3000,5421.154985
-76.951627,116,5421.57362
-720.798546,3000,5432.834335
-3988.715957,3000,5443.97646
-2145.757206,3000,5455.288441
-2800.026935,3000,5466.378387
-3817.692244,3000,5477.843675
-729.999732,3000,5489.039894
-134.128072,3000,5500.354982
-2621.682225,3000,5511.949894
-114.861035,3000,5523.345712
219.864144,3000,5534.569856
-7309.841747,3000,5545.815896
-1180.482373,389,5547.236854
154.150597,3000,5558.336525
-2226.525457,3000,5569.752647
-91.114954,3000,5581.064749
10.0,1,5581.076346
-4445.42933,3000,5592.153194
-5821.020045,3000,5603.139054
-6003.138782,3000,5614.304488
-828.086843,590,5616.479822
-1951.150403,3000,5627.656361
-357.406356,3000,5638.957272
-730.248499,3000,5650.058599
235.077779,3000,5661.396168
-3057.380167,3000,5672.653487
-5256.880252,3000,5683.896975
-130.772914,3000,5695.126342
-12.023768,3000,5706.395604
-989.447642,3000,5717.623456
-476.145714,3000,5728.985589
-3517.717153,3000,5740.300714
-37.748355,3000,5751.569333
-626.332858,3000,5762.945055
-94.405596,3000,5774.019474
-1298.623522,3000,5785.265383
-16.982473,3000,5796.289427
-1179.466487,3000,5807.544063
259.845744,3000,5818.748993
-35.314691,3000,5830.013617
-1.22888,3000,5841.007676
-241.311022,3000,5852.21059
243.011401,3000,5863.284143
104.027758,3000,5874.490703
93.284479,3000,5885.733653
-1473.449634,3000,5896.86712
10.0,1,5896.877222
-5018.909169,3000,5908.194844
-2486.518252,3000,5919.230338
-2248.071445,3000,5930.581928
-2273.999332,3000,5941.704693
-155.439613,3000,5953.047754
-926.186495,3000,5964.108579
-5560.415128,3000,5975.429121
-2344.566011,3000,5986.645111
-1346.32259,3000,5998.067875
-1937.558493,3000,6009.35884
-1609.270173,3000,6020.58614
-199.919271,3000,6031.69555
26.712086,3000,6042.798189
-484.701658,3000,6054.187028
32.211358,3000,6065.356794
-5603.261281,3000,6076.6581
255.06165,3000,6087.838473
-3195.095973,3000,6099.18922
135.305671,3000,6110.204992
116.712204,3000,6121.429526
-525.904754,3000,6132.670136
132.414988,3000,6144.025739
-1028.914072,3000,6155.185338
-466.111347,3000,6166.542827
-7055.948694,3000,6177.756806
324.742529,3000,6188.859073
10.0,1,6188.874662
-2459.854311,3000,6200.326528
-1315.717498,3000,6211.35213
-89.076259,91,6211.700199
-5666.941469,3000,6222.765461
-92.687462,115,6223.170385
75.0356,3000,6234.315216
237.071894,3000,6245.494825
-1724.234728,3000,6256.533909
-3576.969122,3000,6267.836048
-2192.521118,3000,6279.024086
-167.554636,3000,6290.266436
199.640273,3000,6301.317053
-556.302698,214,6302.083057
-2348.58134,3000,6313.363231
83.022079,3000,6324.633502
-126.915122,3000,6336.03816
10.0,1,6336.050126
22.810527,3000,6347.205494
-779.542385,3000,6358.65152
-4308.655604,3000,6369.64136
-65.281217,3000,6380.907056
-896.171772,3000,6392.031
-639.213849,3000,6403.255671
-232.389077,3000,6414.425162
-206.442336,3000,6425.547202
-963.71548,3000,6436.878329
-759.656988,3000,6448.007108
-8258.55092,3000,6459.276905
253.816361,3000,6470.285437
197.431268,3000,6481.624074
10.0,1,6481.635356
-2269.358189,3000,6492.790264
-132.49141,3000,6504.127444
264.379236,3000,6515.012788
-12.978569,3000,6526.315057
-107.822053,3000,6537.580237
-3884.616079,3000,6548.864005
-1095.513023,3000,6559.884881
-760.59582,3000,6571.019887
5.107732,36,6571.162688
-1415.505561,3000,6582.110631
172.637382,3000,6593.183007
215.136351,3000,6604.304578
-999.192091,3000,6615.328279
-6162.467748,3000,6626.669667
-788.866797,3000,6637.706372
-1170.979669,3000,6648.826127
161.938528,3000,6659.894923
-750.89792,3000,6671.252559
-167.209079,3000,6682.359901
-767.076501,3000,6693.549488
89.949195,3000,6704.800335
170.094039,3000,6716.123204
-201.097223,3000,6727.10991
-961.268172,3000,6738.101253
-5149.155697,3000,6749.29172
-3321.911049,3000,6760.253518
-1256.280317,3000,6771.556316
-6718.331856,3000,6782.571095
-2108.357824,3000,6793.950831
-3745.211546,3000,6805.138008
-871.196042,3000,6816.227947
-3006.514027,3000,6827.308513
-5065.79598,2450,6836.510713
-1232.65888,3000,6847.797457
-181.974826,3000,6858.777286
1883.351463,3000,6869.852936
-809.502478,3000,6880.850404
-465.788791,3000,6892.162449
52.507822,3000,6903.403094
-416.22114,3000,6914.73748
-5552.942499,3000,6925.715003
10.0,1,6925.725676
605.02286,3000,6936.98473
-3571.230086,3000,6948.125041
-5767.886493,3000,6959.422156
257.6485,3000,6970.593461
-79.183809,3000,6981.460575
-1480.632006,3000,6992.626284
-2298.979963,3000,7003.720136
-1018.351233,3000,7015.190067
-645.506871,3000,7026.26884
-1031.792114,3000,7037.529501
-309.11607,3000,7048.637728
-266.300953,3000,7059.98795
40.692381,3000,7071.071893
55.935977,3000,7082.375092
150.446253,3000,7093.573737
127.671678,3000,7105.139475
-1888.066631,3000,7116.403285
-1953.82674,3000,7127.530285
-471.289684,3000,7138.955722
10.0,1,7138.968937
-250.833926,3000,7150.107363
-1407.670912,3000,7161.314679
125.042293,3000,7172.328899
236.599112,3000,7183.676159
25.238001,60,7183.898136
-43.348932,3000,7194.887036
-2468.089974,3000,7206.140147
50.712189,3000,7217.251272
-3352.79222,3000,7228.533809
-68.235456,3000,7239.506997
10.0,1,7239.518599
-57.684542,3000,7250.677605
-7804.976233,3000,7261.672212
-2146.805303,3000,7272.739729
-246.26583,3000,7283.838756
58.679497,3000,7294.926664
-288.400848,3000,7306.015351
19.814848,3000,7316.915495
-391.359168,3000,7328.390551
126.842285,3000,7339.332727
-197.493434,3000,7350.693825
-1208.810588,3000,7362.044481
-434.623242,3000,7373.257341
-36.627148,3000,7384.421162
-3105.487933,3000,7395.662633
-1733.900102,3000,7406.743867
-3440.953282,3000,7418.039182
-575.865516,3000,7429.279258
216.120624,3000,7440.635708
-298.158412,3000,7451.834518
-5011.051192,3000,7462.903655
189.509191,3000,7474.176598
11.001046,3000,7485.365445
-479.153073,3000,7496.765254
-22.686635,3000,7507.95979
-764.448476,3000,7519.289644
242.016432,3000,7530.423973
-24.887604,3000,7541.653678
-1782.565494,3000,7552.787252
-7.356516,59,7553.006269
-771.690312,3000,7564.476473
218.836828,3000,7575.8213
-210.366885,3000,7587.210002
-2945.36868,3000,7598.273671
-4491.152629,3000,7609.857023
-1093.879089,3000,7620.982408
-3836.544223,3000,7632.149698
-259.118255,3000,7643.407501
