timestamp,id,goal,context,is_replan,ok,fail_reason,plan_time_ms,nodes_expanded,nodes_generated,open_list_max,path_len_m,path_cost_grid,w
2025-08-31 02:03:26,cb5846,Street Parade,initial,0,1,,2.375,144,514,372,15.957,159.569,1.5
2025-08-31 02:04:23,cb5846,Street Parade,stall,1,1,,2.813,140,500,362,15.515,155.154,1.5
2025-08-31 02:04:38,cb5846,Street Parade,stall,1,1,,2.785,136,486,352,15.074,150.74,1.5
2025-08-31 02:07:31,cb5846,Street Parade,proactive,1,0,no_path,0.027,1,0,1,0.0,,1.5
2025-08-31 02:07:31,cb5846,Street Parade,proactive,1,0,no_path,0.006,1,0,1,0.0,,1.5
2025-08-31 02:07:31,cb5846,Street Parade,proactive,1,0,no_path,0.005,1,0,1,0.0,,1.5
2025-08-31 02:07:31,cb5846,Street Parade,proactive,1,0,no_path,0.006,1,0,1,0.0,,1.5
2025-08-31 02:07:32,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:32,cb5846,Street Parade,proactive,1,0,no_path,0.006,1,0,1,0.0,,1.5
2025-08-31 02:07:32,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:32,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:32,cb5846,Street Parade,proactive,1,0,no_path,0.011,1,0,1,0.0,,1.5
2025-08-31 02:07:32,cb5846,Street Parade,proactive,1,1,,1.603,101,338,239,10.736,107.355,1.5
2025-08-31 02:07:33,cb5846,Street Parade,proactive,1,0,no_path,0.006,1,0,1,0.0,,1.5
2025-08-31 02:07:33,cb5846,Street Parade,proactive,1,0,no_path,0.006,1,0,1,0.0,,1.5
2025-08-31 02:07:33,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:33,cb5846,Street Parade,proactive,1,0,no_path,0.01,1,0,1,0.0,,1.5
2025-08-31 02:07:33,cb5846,Street Parade,proactive,1,0,no_path,0.006,1,0,1,0.0,,1.5
2025-08-31 02:07:33,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:33,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:34,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:34,cb5846,Street Parade,proactive,1,0,no_path,0.011,1,0,1,0.0,,1.5
2025-08-31 02:07:34,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:34,cb5846,Street Parade,proactive,1,0,no_path,0.014,1,0,1,0.0,,1.5
2025-08-31 02:07:34,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:34,cb5846,Street Parade,proactive,1,0,no_path,0.006,1,0,1,0.0,,1.5
2025-08-31 02:07:34,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:34,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:34,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:34,cb5846,Street Parade,proactive,1,0,no_path,0.012,1,0,1,0.0,,1.5
2025-08-31 02:07:34,cb5846,Street Parade,proactive,1,0,no_path,0.006,1,0,1,0.0,,1.5
2025-08-31 02:07:35,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:35,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:35,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:35,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:35,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:35,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:35,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:35,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:35,cb5846,Street Parade,proactive,1,0,no_path,0.006,1,0,1,0.0,,1.5
2025-08-31 02:07:35,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:36,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:36,cb5846,Street Parade,proactive,1,0,no_path,0.01,1,0,1,0.0,,1.5
2025-08-31 02:07:36,cb5846,Street Parade,proactive,1,0,no_path,0.009,1,0,1,0.0,,1.5
2025-08-31 02:07:36,cb5846,Street Parade,proactive,1,0,no_path,0.01,1,0,1,0.0,,1.5
2025-08-31 02:07:36,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:36,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:36,cb5846,Street Parade,proactive,1,0,no_path,0.006,1,0,1,0.0,,1.5
2025-08-31 02:07:36,cb5846,Street Parade,proactive,1,0,no_path,0.005,1,0,1,0.0,,1.5
2025-08-31 02:07:36,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:36,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:36,cb5846,Street Parade,proactive,1,0,no_path,0.006,1,0,1,0.0,,1.5
2025-08-31 02:07:37,cb5846,Street Parade,proactive,1,0,no_path,0.006,1,0,1,0.0,,1.5
2025-08-31 02:07:37,cb5846,Street Parade,proactive,1,0,no_path,0.01,1,0,1,0.0,,1.5
2025-08-31 02:07:37,cb5846,Street Parade,proactive,1,0,no_path,0.01,1,0,1,0.0,,1.5
2025-08-31 02:07:37,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:37,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:37,cb5846,Street Parade,proactive,1,0,no_path,0.018,1,0,1,0.0,,1.5
2025-08-31 02:07:37,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:37,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:37,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:37,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:37,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:38,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:38,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:38,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:38,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:38,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:38,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:38,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:38,cb5846,Street Parade,proactive,1,0,no_path,0.006,1,0,1,0.0,,1.5
2025-08-31 02:07:38,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:38,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:38,cb5846,Street Parade,proactive,1,0,no_path,0.006,1,0,1,0.0,,1.5
2025-08-31 02:07:39,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:39,cb5846,Street Parade,proactive,1,0,no_path,0.006,1,0,1,0.0,,1.5
2025-08-31 02:07:39,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:39,cb5846,Street Parade,proactive,1,0,no_path,0.006,1,0,1,0.0,,1.5
2025-08-31 02:07:39,cb5846,Street Parade,proactive,1,0,no_path,0.006,1,0,1,0.0,,1.5
2025-08-31 02:07:39,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:39,cb5846,Street Parade,proactive,1,0,no_path,0.005,1,0,1,0.0,,1.5
2025-08-31 02:07:39,cb5846,Street Parade,proactive,1,0,no_path,0.011,1,0,1,0.0,,1.5
2025-08-31 02:07:39,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:39,cb5846,Street Parade,proactive,1,0,no_path,0.006,1,0,1,0.0,,1.5
2025-08-31 02:07:39,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:40,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:40,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:40,cb5846,Street Parade,proactive,1,0,no_path,0.01,1,0,1,0.0,,1.5
2025-08-31 02:07:40,cb5846,Street Parade,proactive,1,0,no_path,0.012,1,0,1,0.0,,1.5
2025-08-31 02:07:40,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:40,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:40,cb5846,Street Parade,proactive,1,0,no_path,0.006,1,0,1,0.0,,1.5
2025-08-31 02:07:40,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:40,cb5846,Street Parade,proactive,1,0,no_path,0.006,1,0,1,0.0,,1.5
2025-08-31 02:07:40,cb5846,Street Parade,proactive,1,0,no_path,0.015,1,0,1,0.0,,1.5
2025-08-31 02:07:40,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:41,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:41,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:41,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:41,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:41,cb5846,Street Parade,proactive,1,0,no_path,0.006,1,0,1,0.0,,1.5
2025-08-31 02:07:41,cb5846,Street Parade,proactive,1,0,no_path,0.011,1,0,1,0.0,,1.5
2025-08-31 02:07:41,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:41,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:41,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:41,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:42,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:42,cb5846,Street Parade,proactive,1,0,no_path,0.005,1,0,1,0.0,,1.5
2025-08-31 02:07:42,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:42,cb5846,Street Parade,proactive,1,0,no_path,0.005,1,0,1,0.0,,1.5
2025-08-31 02:07:42,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:42,cb5846,Street Parade,proactive,1,0,no_path,0.006,1,0,1,0.0,,1.5
2025-08-31 02:07:42,cb5846,Street Parade,proactive,1,0,no_path,0.006,1,0,1,0.0,,1.5
2025-08-31 02:07:42,cb5846,Street Parade,proactive,1,0,no_path,0.005,1,0,1,0.0,,1.5
2025-08-31 02:07:42,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:42,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:42,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:43,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:43,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:43,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:43,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:43,cb5846,Street Parade,proactive,1,0,no_path,0.006,1,0,1,0.0,,1.5
2025-08-31 02:07:43,cb5846,Street Parade,proactive,1,0,no_path,0.005,1,0,1,0.0,,1.5
2025-08-31 02:07:43,cb5846,Street Parade,proactive,1,0,no_path,0.011,1,0,1,0.0,,1.5
2025-08-31 02:07:43,cb5846,Street Parade,proactive,1,0,no_path,0.006,1,0,1,0.0,,1.5
2025-08-31 02:07:43,cb5846,Street Parade,proactive,1,0,no_path,0.025,1,0,1,0.0,,1.5
2025-08-31 02:07:43,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:43,cb5846,Street Parade,proactive,1,0,no_path,0.006,1,0,1,0.0,,1.5
2025-08-31 02:07:44,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:44,cb5846,Street Parade,proactive,1,0,no_path,0.01,1,0,1,0.0,,1.5
2025-08-31 02:07:44,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:44,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:44,cb5846,Street Parade,proactive,1,0,no_path,0.01,1,0,1,0.0,,1.5
2025-08-31 02:07:44,cb5846,Street Parade,proactive,1,0,no_path,0.01,1,0,1,0.0,,1.5
2025-08-31 02:07:44,cb5846,Street Parade,proactive,1,0,no_path,0.009,1,0,1,0.0,,1.5
2025-08-31 02:07:44,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:44,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:44,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:44,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:45,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:45,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:45,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:45,cb5846,Street Parade,proactive,1,0,no_path,0.005,1,0,1,0.0,,1.5
2025-08-31 02:07:45,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:45,cb5846,Street Parade,proactive,1,0,no_path,0.006,1,0,1,0.0,,1.5
2025-08-31 02:07:45,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:45,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:45,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:45,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:45,cb5846,Street Parade,proactive,1,0,no_path,0.006,1,0,1,0.0,,1.5
2025-08-31 02:07:46,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:46,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:46,cb5846,Street Parade,proactive,1,0,no_path,0.01,1,0,1,0.0,,1.5
2025-08-31 02:07:46,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:46,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:46,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:46,cb5846,Street Parade,proactive,1,0,no_path,0.005,1,0,1,0.0,,1.5
2025-08-31 02:07:46,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:46,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:46,cb5846,Street Parade,proactive,1,0,no_path,0.006,1,0,1,0.0,,1.5
2025-08-31 02:07:47,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:47,cb5846,Street Parade,proactive,1,0,no_path,0.006,1,0,1,0.0,,1.5
2025-08-31 02:07:47,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:47,cb5846,Street Parade,proactive,1,0,no_path,0.012,1,0,1,0.0,,1.5
2025-08-31 02:07:47,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:47,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:47,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:47,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:47,cb5846,Street Parade,proactive,1,0,no_path,0.01,1,0,1,0.0,,1.5
2025-08-31 02:07:47,cb5846,Street Parade,proactive,1,0,no_path,0.006,1,0,1,0.0,,1.5
2025-08-31 02:07:47,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:48,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:48,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:48,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:48,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:48,cb5846,Street Parade,proactive,1,0,no_path,0.005,1,0,1,0.0,,1.5
2025-08-31 02:07:48,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:48,cb5846,Street Parade,proactive,1,0,no_path,0.006,1,0,1,0.0,,1.5
2025-08-31 02:07:48,cb5846,Street Parade,proactive,1,0,no_path,0.006,1,0,1,0.0,,1.5
2025-08-31 02:07:48,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:48,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:48,cb5846,Street Parade,proactive,1,0,no_path,0.006,1,0,1,0.0,,1.5
2025-08-31 02:07:49,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:49,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:49,cb5846,Street Parade,proactive,1,0,no_path,0.009,1,0,1,0.0,,1.5
2025-08-31 02:07:49,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:49,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:49,cb5846,Street Parade,proactive,1,0,no_path,0.005,1,0,1,0.0,,1.5
2025-08-31 02:07:49,cb5846,Street Parade,proactive,1,0,no_path,0.01,1,0,1,0.0,,1.5
2025-08-31 02:07:49,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:49,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:49,cb5846,Street Parade,proactive,1,0,no_path,0.006,1,0,1,0.0,,1.5
2025-08-31 02:07:50,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:50,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:50,cb5846,Street Parade,proactive,1,0,no_path,0.006,1,0,1,0.0,,1.5
2025-08-31 02:07:50,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:50,cb5846,Street Parade,proactive,1,0,no_path,0.006,1,0,1,0.0,,1.5
2025-08-31 02:07:50,cb5846,Street Parade,proactive,1,0,no_path,0.006,1,0,1,0.0,,1.5
2025-08-31 02:07:50,cb5846,Street Parade,proactive,1,0,no_path,0.011,1,0,1,0.0,,1.5
2025-08-31 02:07:50,cb5846,Street Parade,proactive,1,0,no_path,0.006,1,0,1,0.0,,1.5
2025-08-31 02:07:50,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:50,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:50,cb5846,Street Parade,proactive,1,0,no_path,0.005,1,0,1,0.0,,1.5
2025-08-31 02:07:51,cb5846,Street Parade,proactive,1,0,no_path,0.006,1,0,1,0.0,,1.5
2025-08-31 02:07:51,cb5846,Street Parade,proactive,1,0,no_path,0.006,1,0,1,0.0,,1.5
2025-08-31 02:07:51,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:51,cb5846,Street Parade,proactive,1,0,no_path,0.015,1,0,1,0.0,,1.5
2025-08-31 02:07:51,cb5846,Street Parade,proactive,1,0,no_path,0.006,1,0,1,0.0,,1.5
2025-08-31 02:07:51,cb5846,Street Parade,proactive,1,0,no_path,0.01,1,0,1,0.0,,1.5
2025-08-31 02:07:51,cb5846,Street Parade,proactive,1,0,no_path,0.006,1,0,1,0.0,,1.5
2025-08-31 02:07:51,cb5846,Street Parade,proactive,1,0,no_path,0.005,1,0,1,0.0,,1.5
